onset_qL,measure,label,root_pc,size
0.75,206,A (major triad),9,3
1.0,206,F# (Major Sixth with octave doublings),6,2
1.25,206,F# (Major Sixth with octave doublings),6,2
1.5,206,F# (enharmonic to dominant seventh chord),6,4
1.75,206,F# (Major Sixth with octave doublings),6,2
2.0,206,A (major triad),9,3
2.25,206,A (major triad),9,3
2.5,206,A (major triad),9,3
2.75,206,A (major triad),9,3
3.0,206,E (dominant seventh chord),4,4
3.25,206,E (dominant seventh chord),4,4
3.5,206,E (dominant seventh chord),4,4
3.75,206,E (dominant seventh chord),4,4
0.0,207,G# (Diminished Fifth),8,2
0.25,207,G# (Diminished Fifth),8,2
0.5,207,G# (Major Sixth),8,2
0.75,207,G# (Major Sixth),8,2
1.0,207,E (dominant seventh chord),4,4
1.25,207,E (dominant seventh chord),4,4
1.5,207,E (dominant seventh chord),4,4
1.75,207,G# (Major Sixth),8,2
2.0,207,A (Major Third),9,2
2.25,207,A (Major Third),9,2
2.5,207,A (Minor Sixth),9,2
2.75,207,A (Minor Sixth),9,2
3.0,207,A (major triad),9,3
3.25,207,A (major triad),9,3
3.5,207,A (major triad),9,3
3.75,207,A (note),9,1
0.0,208,A (note),9,1
0.25,208,A (note),9,1
0.5,208,A (note),9,1
0.75,208,A (note),9,1
1.0,208,A (note),9,1
1.25,208,A (note),9,1
1.5,208,A (note),9,1
1.75,208,A (note),9,1
2.0,208,F (harmonic minor scale),5,7
2.25,208,F (harmonic minor scale),5,7
2.5,208,F (harmonic minor scale),5,7
2.75,208,F (harmonic minor scale),5,7
0.0,209,F (harmonic minor scale),5,7
0.25,209,F (harmonic minor scale),5,7
0.5,209,F (harmonic minor scale),5,7
0.75,209,F (harmonic minor scale),5,7
1.0,209,F (harmonic minor scale),5,7
1.25,209,F (harmonic minor scale),5,7
1.5,209,D (minor triad),2,3
1.75,209,D (minor triad),2,3
2.0,209,D (minor triad),2,3
2.25,209,D (minor triad),2,3
2.5,209,D (minor triad),2,3
2.75,209,D (minor triad),2,3
0.0,210,D (minor triad),2,3
0.25,210,D (minor triad),2,3
0.5,210,D (minor triad),2,3
0.75,210,D (minor triad),2,3
1.0,210,D (minor triad),2,3
1.25,210,D (minor triad),2,3
1.5,210,D (minor triad),2,3
1.75,210,D (minor triad),2,3
2.0,210,D (minor triad),2,3
2.25,210,D (minor triad),2,3
2.5,210,D (minor triad),2,3
2.75,210,D (minor triad),2,3
0.0,211,D (minor triad),2,3
0.25,211,D (Major Sixth with octave doublings),2,2
0.5,211,D (Major Sixth with octave doublings),2,2
0.75,211,D (Minor Third with octave doublings),2,2
1.0,211,D (Major Sixth with octave doublings),2,2
1.25,211,D (Minor Third with octave doublings),2,2
1.5,211,D (minor triad),2,3
1.75,211,D (Minor Third with octave doublings),2,2
2.0,211,D (minor triad),2,3
2.25,211,D (Minor Third with octave doublings),2,2
2.5,211,D (Minor Third with octave doublings),2,2
2.75,211,D (Minor Third with octave doublings),2,2
0.0,212,D (Minor Third with octave doublings),2,2
0.25,212,D (Minor Third with octave doublings),2,2
0.5,212,D (Major Sixth with octave doublings),2,2
0.75,212,D (Minor Third with octave doublings),2,2
1.0,212,D (Major Sixth with octave doublings),2,2
1.25,212,D (Minor Third with octave doublings),2,2
1.5,212,D (minor triad),2,3
1.75,212,D (Minor Third with octave doublings),2,2
2.0,212,D (minor triad),2,3
2.25,212,D (Minor Third with octave doublings),2,2
2.5,212,D (Minor Third with octave doublings),2,2
2.75,212,D (Minor Third with octave doublings),2,2
0.0,213,D (Minor Third with octave doublings),2,2
0.25,213,D (Minor Third with octave doublings),2,2
0.5,213,D (minor triad),2,3
0.75,213,D (Perfect Octave),2,1
1.0,213,D (minor triad),2,3
1.25,213,D (Perfect Octave),2,1
1.5,213,D (dominant seventh chord),2,4
1.75,213,D (Perfect Octave),2,1
2.0,213,D (dominant seventh chord),2,4
2.25,213,D (Perfect Octave),2,1
2.5,213,G (major triad),7,3
2.75,213,D (Perfect Octave),2,1
0.0,214,G (major triad),7,3
0.25,214,D (Perfect Octave),2,1
0.5,214,G# (Italian augmented sixth chord),8,3
0.75,214,D (Perfect Octave),2,1
1.0,214,G# (German augmented sixth chord),8,4
1.25,214,D (Perfect Octave),2,1
1.5,214,G# (German augmented sixth chord),8,4
1.75,214,D (Perfect Octave),2,1
2.0,214,G# (German augmented sixth chord),8,4
2.25,214,D (Perfect Octave),2,1
2.5,214,B- (major triad),10,3
2.75,214,D (Perfect Octave),2,1
0.0,215,B- (major triad),10,3
1.0,215,A (multiple octaves),9,1
2.0,216,A (note),9,1
2.75,216,A (note),9,1
0.0,217,E (note),4,1
0.0,218,E (note),4,1
1.0,218,D (note),2,1
1.5,218,C# (note),1,1
2.0,218,D (note),2,1
2.5,218,E (note),4,1
0.0,219,E (note),4,1
1.0,219,G (note),7,1
2.5,219,G (note),7,1
0.0,220,B- (note),10,1
2.0,220,A (note),9,1
2.5,220,E (note),4,1
0.0,221,F (note),5,1
1.0,221,D (minor triad),2,3
2.0,221,F# (diminished seventh chord),6,4
0.0,222,F# (diminished seventh chord),6,4
1.0,222,G (major triad),7,3
2.0,222,G# (diminished seventh chord),8,4
0.0,223,G# (diminished seventh chord),8,4
1.0,223,E (dominant seventh chord),4,4
0.0,224,E (dominant seventh chord),4,4
2.0,224,E (dominant seventh chord),4,4
0.0,225,E (dominant seventh chord),4,4
1.0,225,E (dominant seventh chord),4,4
2.5,225,E (dominant seventh chord),4,4
0.0,226,E (dominant seventh chord),4,4
1.0,226,E (dominant seventh chord),4,4
1.5,226,E (Kumoi pentachord),4,5
2.0,226,E (dominant seventh chord),4,4
2.5,226,C# (minor-diminished ninth chord),1,5
0.0,227,E (dominant seventh chord),4,4
0.5,227,E (dominant seventh chord),4,4
1.0,227,C# (minor-diminished ninth chord),1,5
1.5,227,E (dominant seventh chord),4,4
2.0,227,E (dominant seventh chord),4,4
2.5,227,E (dominant seventh chord),4,4
0.0,228,E (dominant seventh chord),4,4
0.5,228,E (dominant seventh chord),4,4
1.0,228,E (dominant seventh chord),4,4
2.0,228,E (dominant-ninth),4,5
2.5,228,E (dominant seventh chord),4,4
0.0,229,D (note),2,1
1.0,229,C# (note),1,1
2.0,229,A (dominant seventh chord),9,4
0.0,230,D (major triad),2,3
0.5,230,D (major triad),2,3
1.0,230,D (major triad),2,3
2.0,230,A (note),9,1
0.0,231,D (note),2,1
1.5,231,E (note),4,1
2.0,231,F# (note),6,1
2.5,231,E (note),4,1
0.0,232,E (note),4,1
0.5,232,D (note),2,1
1.0,232,D (note),2,1
1.5,232,C# (note),1,1
2.0,232,D (note),2,1
2.5,232,A (note),9,1
0.0,233,G (note),7,1
0.5,233,F# (note),6,1
1.0,233,F# (note),6,1
1.5,233,E (note),4,1
2.0,233,D (note),2,1
2.5,233,C (note),0,1
0.0,234,C (note),0,1
0.5,234,B (note),11,1
1.0,234,G (major triad),7,3
1.5,234,G (note),7,1
2.0,234,G (major triad),7,3
2.5,234,G (note),7,1
0.0,235,G (note),7,1
1.5,235,E (note),4,1
2.0,235,C# (note),1,1
2.5,235,D (note),2,1
0.0,236,D (note),2,1
0.5,236,A (note),9,1
1.0,236,A (note),9,1
2.0,236,A (major triad),9,3
0.0,237,A (major triad),9,3
1.0,237,A (major triad),9,3
2.0,237,D (major triad),2,3
3.0,237,A (incomplete dominant-seventh chord),9,3
0.0,238,A (incomplete dominant-seventh chord),9,3
1.0,238,D (major triad),2,3
2.0,238,A (major triad),9,3
3.0,238,B (incomplete minor-seventh chord),11,3
0.0,239,A (major triad),9,3
1.0,239,A (major triad),9,3
2.0,239,D (major triad),2,3
3.0,239,A (incomplete dominant-seventh chord),9,3
0.0,240,A (incomplete dominant-seventh chord),9,3
1.0,240,D (major triad),2,3
2.0,240,E (quartal tetramirror),4,4
3.0,240,D (major triad),2,3
3.5,240,D (perfect-fourth major tetrachord),2,4
0.0,241,D (major triad),2,3
0.75,241,D (major triad),2,3
1.0,241,F# (Minor Third with octave doublings),6,2
1.5,241,D (major triad),2,3
1.75,241,F# (Minor Third with octave doublings),6,2
2.0,241,A (Major Second with octave doublings),9,2
2.75,241,A (Major Second with octave doublings),9,2
3.0,241,A (multiple octaves),9,1
3.5,241,A (multiple octaves),9,1
3.75,241,A (multiple octaves),9,1
0.0,242,B (Major Second with octave doublings),11,2
0.75,242,A (multiple octaves),9,1
1.0,242,A (Major Second with octave doublings),9,2
1.5,242,G (whole-tone trichord),7,3
1.75,242,A (Major Second with octave doublings),9,2
2.0,242,F# (minor triad),6,3
2.75,242,F# (Minor Third with octave doublings),6,2
3.0,242,A (incomplete dominant-seventh chord),9,3
3.5,242,A (dominant seventh chord),9,4
3.75,242,A (incomplete dominant-seventh chord),9,3
0.0,243,D (major triad),2,3
0.75,243,D (major triad),2,3
1.0,243,D (major triad),2,3
1.5,243,D (major triad),2,3
1.75,243,D (major triad),2,3
2.0,243,E (quartal tetramirror),4,4
2.75,243,A (incomplete dominant-seventh chord),9,3
3.0,243,F# (Minor Third with octave doublings),6,2
3.5,243,D (major triad),2,3
3.75,243,F# (Minor Third with octave doublings),6,2
0.0,244,D (major triad),2,3
0.75,244,F# (Minor Third with octave doublings),6,2
1.0,244,F# (Minor Tenth),6,2
1.5,244,E (incomplete minor-seventh chord),4,3
1.75,244,E (Minor Tenth),4,2
2.0,244,A (dominant seventh chord),9,4
3.0,244,E (Minor Seventeenth),4,2
3.5,244,C# (Major Thirteenth),1,2
3.75,244,C# (note),1,1
0.0,245,D (major triad),2,3
1.0,245,D (major triad),2,3
1.5,245,D (major triad),2,3
2.0,245,A (incomplete dominant-seventh chord),9,3
3.0,245,F# (Major Sixth with octave doublings),6,2
3.5,245,F# (Major Sixth with octave doublings),6,2
0.0,246,B (incomplete dominant-seventh chord),11,3
1.0,246,A (incomplete dominant-seventh chord),9,3
1.5,246,E (perfect-fourth minor tetrachord),4,4
2.0,246,B (minor seventh chord),11,4
3.0,246,A (incomplete dominant-seventh chord),9,3
3.5,246,A (dominant seventh chord),9,4
0.0,247,D (major triad),2,3
1.0,247,D (major triad),2,3
1.5,247,D (major triad),2,3
2.0,247,A (incomplete dominant-seventh chord),9,3
3.0,247,D (major triad),2,3
3.5,247,D (major triad),2,3
0.0,248,A (dominant seventh chord),9,4
1.0,248,C# (Major Thirteenth),1,2
1.5,248,D (Major Third with octave doublings),2,2
2.0,248,D (major triad),2,3
2.5,248,D (major triad),2,3
3.0,248,E (Major Second with octave doublings),4,2
3.5,248,D (Major Third with octave doublings),2,2
3.75,248,D (Major Tenth),2,2
0.0,249,C# (diminished triad),1,3
1.0,249,A (major triad),9,3
1.5,249,A (major triad),9,3
2.0,249,D (major triad),2,3
3.0,249,D (major triad),2,3
3.5,249,D (major triad),2,3
0.0,250,A (incomplete dominant-seventh chord),9,3
0.5,250,A (major triad),9,3
1.0,250,D (major triad),2,3
1.5,250,A (incomplete dominant-seventh chord),9,3
2.0,250,D (major triad),2,3
3.0,250,D (quartal trichord),2,3
3.5,250,D (major triad),2,3
0.0,251,A (incomplete dominant-seventh chord),9,3
0.5,251,A (major triad),9,3
1.0,251,D (major triad),2,3
1.5,251,A (incomplete dominant-seventh chord),9,3
2.0,251,D (major triad),2,3
3.0,251,A (incomplete dominant-seventh chord),9,3
3.5,251,A (incomplete dominant-seventh chord),9,3
0.0,252,G (quartal trichord),7,3
0.5,252,D (major triad),2,3
1.0,252,A (incomplete dominant-seventh chord),9,3
1.5,252,A (Perfect Fourth with octave doublings),9,2
2.0,252,D (Perfect Fourth with octave doublings),2,2
2.5,252,A (Major Third with octave doublings),9,2
2.75,252,A (Major Third with octave doublings),9,2
3.0,252,F# (incomplete minor-seventh chord),6,3
3.5,252,D (major triad),2,3
0.0,253,D (major triad),2,3
1.0,253,F# (enharmonic equivalent to diminished triad),6,3
1.5,253,F# (enharmonic equivalent to diminished triad),6,3
2.0,253,A (incomplete dominant-seventh chord),9,3
3.0,253,F# (Major Sixth with octave doublings),6,2
3.5,253,F# (Major Sixth with octave doublings),6,2
0.0,254,B (incomplete dominant-seventh chord),11,3
1.0,254,A (incomplete dominant-seventh chord),9,3
1.5,254,E (perfect-fourth minor tetrachord),4,4
2.0,254,B (incomplete dominant-seventh chord),11,3
3.0,254,E (perfect-fourth minor tetrachord),4,4
3.5,254,A (dominant seventh chord),9,4
0.0,255,D (major triad),2,3
0.5,255,D (major triad),2,3
1.0,255,B (minor seventh chord),11,4
1.5,255,D (major triad),2,3
2.0,255,A (incomplete dominant-seventh chord),9,3
2.5,255,F# (minor tetramirror),6,4
3.0,255,F# (incomplete minor-seventh chord),6,3
3.5,255,D (major triad),2,3
0.0,256,A (dominant seventh chord),9,4
1.0,256,C# (diminished triad),1,3
1.5,256,D (Major Third with octave doublings),2,2
2.0,256,D (major triad),2,3
2.5,256,D (major triad),2,3
3.0,256,E (incomplete minor-seventh chord),4,3
3.5,256,D (major triad),2,3
0.0,257,A (incomplete dominant-seventh chord),9,3
0.25,257,A (incomplete dominant-seventh chord),9,3
0.5,257,A (incomplete dominant-seventh chord),9,3
0.75,257,A (incomplete dominant-seventh chord),9,3
1.0,257,A (major triad),9,3
1.25,257,A (major triad),9,3
1.5,257,A (major triad),9,3
1.75,257,A (major triad),9,3
2.0,257,D (major triad),2,3
2.25,257,D (major triad),2,3
2.5,257,D (major triad),2,3
2.75,257,D (major triad),2,3
3.0,257,D (quartal trichord),2,3
3.25,257,D (quartal trichord),2,3
3.5,257,D (major triad),2,3
3.75,257,D (major triad),2,3
0.0,258,A (incomplete dominant-seventh chord),9,3
0.25,258,A (incomplete dominant-seventh chord),9,3
0.5,258,A (dominant seventh chord),9,4
0.75,258,A (dominant seventh chord),9,4
1.0,258,D (major seventh chord),2,4
1.25,258,D (major seventh chord),2,4
1.5,258,A (dominant seventh chord),9,4
1.75,258,A (dominant seventh chord),9,4
2.0,258,D (major triad),2,3
2.25,258,D (major triad),2,3
2.5,258,D (major triad),2,3
2.75,258,D (major triad),2,3
3.0,258,D (quartal trichord),2,3
3.25,258,D (quartal trichord),2,3
3.5,258,D (major triad),2,3
3.75,258,D (major triad),2,3
0.0,259,A (incomplete dominant-seventh chord),9,3
0.25,259,A (incomplete dominant-seventh chord),9,3
0.5,259,A (major triad),9,3
0.75,259,A (major triad),9,3
1.0,259,D (major triad),2,3
1.25,259,D (major triad),2,3
1.5,259,A (incomplete dominant-seventh chord),9,3
1.75,259,A (incomplete dominant-seventh chord),9,3
2.0,259,D (major triad),2,3
2.25,259,D (major triad),2,3
2.5,259,F# (incomplete minor-seventh chord),6,3
2.75,259,F# (incomplete minor-seventh chord),6,3
3.0,259,F# (incomplete minor-seventh chord),6,3
3.25,259,F# (incomplete minor-seventh chord),6,3
3.5,259,A (incomplete dominant-seventh chord),9,3
3.75,259,A (incomplete dominant-seventh chord),9,3
0.0,260,G (quartal trichord),7,3
0.25,260,G (quartal trichord),7,3
0.5,260,D (major triad),2,3
0.75,260,D (major triad),2,3
1.0,260,A (incomplete dominant-seventh chord),9,3
1.25,260,A (incomplete dominant-seventh chord),9,3
1.5,260,A (incomplete dominant-seventh chord),9,3
1.75,260,A (incomplete dominant-seventh chord),9,3
2.0,260,E (quartal tetramirror),4,4
2.25,260,E (quartal tetramirror),4,4
2.5,260,A (major triad),9,3
2.75,260,A (major triad),9,3
3.0,260,D (major-second major tetrachord),2,4
3.25,260,D (major-second major tetrachord),2,4
3.5,260,D (major triad),2,3
3.75,260,D (major triad),2,3
0.0,261,D (major triad),2,3
0.25,261,D (major triad),2,3
0.5,261,D (major triad),2,3
0.75,261,D (major triad),2,3
1.0,261,F# (enharmonic equivalent to diminished triad),6,3
1.25,261,F# (enharmonic equivalent to diminished triad),6,3
1.5,261,F# (enharmonic equivalent to diminished triad),6,3
1.75,261,F# (enharmonic equivalent to diminished triad),6,3
2.0,261,A (incomplete dominant-seventh chord),9,3
2.25,261,A (incomplete dominant-seventh chord),9,3
2.5,261,A (incomplete dominant-seventh chord),9,3
2.75,261,A (incomplete dominant-seventh chord),9,3
3.0,261,F# (Major Sixth with octave doublings),6,2
3.25,261,F# (Major Sixth with octave doublings),6,2
3.5,261,F# (Major Sixth with octave doublings),6,2
3.75,261,F# (Major Sixth with octave doublings),6,2
0.0,262,B (incomplete dominant-seventh chord),11,3
0.25,262,B (incomplete dominant-seventh chord),11,3
0.5,262,B (incomplete dominant-seventh chord),11,3
0.75,262,B (incomplete dominant-seventh chord),11,3
1.0,262,A (incomplete dominant-seventh chord),9,3
1.25,262,A (incomplete dominant-seventh chord),9,3
1.5,262,E (perfect-fourth minor tetrachord),4,4
1.75,262,E (perfect-fourth minor tetrachord),4,4
2.0,262,B (minor seventh chord),11,4
2.25,262,B (minor seventh chord),11,4
2.5,262,B (minor seventh chord),11,4
2.75,262,B (minor seventh chord),11,4
3.0,262,E (minor triad),4,3
3.25,262,E (minor triad),4,3
3.5,262,A (dominant seventh chord),9,4
3.75,262,A (dominant seventh chord),9,4
0.0,263,D (major triad),2,3
0.25,263,D (major triad),2,3
0.5,263,D (major triad),2,3
0.75,263,D (major triad),2,3
1.0,263,B (incomplete minor-seventh chord),11,3
1.25,263,B (incomplete minor-seventh chord),11,3
1.5,263,D (major triad),2,3
1.75,263,D (major triad),2,3
2.0,263,E (quartal tetramirror),4,4
2.25,263,E (quartal tetramirror),4,4
2.5,263,D (major pentachord),2,5
2.75,263,D (major pentachord),2,5
3.0,263,F# (incomplete minor-seventh chord),6,3
3.25,263,F# (incomplete minor-seventh chord),6,3
3.5,263,D (major triad),2,3
3.75,263,D (major triad),2,3
0.0,264,A (dominant seventh chord),9,4
0.25,264,A (dominant seventh chord),9,4
0.5,264,A (dominant seventh chord),9,4
0.75,264,A (dominant seventh chord),9,4
1.0,264,A (dominant seventh chord),9,4
1.25,264,A (dominant seventh chord),9,4
1.5,264,D (Major Third with octave doublings),2,2
1.75,264,D (Major Third with octave doublings),2,2
2.0,264,D (Major Third with octave doublings),2,2
2.25,264,D (Major Third with octave doublings),2,2
2.5,264,D (Major Third with octave doublings),2,2
2.75,264,D (Major Third with octave doublings),2,2
3.0,264,D (Perfect Fourth with octave doublings),2,2
3.25,264,D (Perfect Fourth with octave doublings),2,2
3.5,264,D (major triad),2,3
3.75,264,D (major triad),2,3
0.0,265,A (dominant seventh chord),9,4
0.25,265,A (dominant seventh chord),9,4
0.5,265,A (dominant seventh chord),9,4
0.75,265,A (dominant seventh chord),9,4
1.0,265,G (Minor Second with octave doublings),7,2
1.25,265,G (multiple octaves),7,1
1.5,265,D (major triad),2,3
1.75,265,D (major triad),2,3
2.0,265,D (major triad),2,3
2.25,265,D (major triad),2,3
2.5,265,D (major triad),2,3
2.75,265,D (major triad),2,3
3.0,265,D (Major Third with octave doublings),2,2
3.25,265,D (Major Third with octave doublings),2,2
3.5,265,D (Major Third with octave doublings),2,2
3.75,265,D (Major Third with octave doublings),2,2
0.0,266,D (incomplete dominant-seventh chord),2,3
0.25,266,D (incomplete dominant-seventh chord),2,3
0.5,266,D (incomplete dominant-seventh chord),2,3
0.75,266,D (incomplete dominant-seventh chord),2,3
1.0,266,D (incomplete dominant-seventh chord),2,3
1.25,266,D (incomplete dominant-seventh chord),2,3
1.5,266,G (major triad),7,3
1.75,266,G (major triad),7,3
2.0,266,G (major triad),7,3
2.5,266,G (major triad),7,3
3.0,266,E (Major Sixth with octave doublings),4,2
3.5,266,E (Minor Third with octave doublings),4,2
0.0,267,E (quartal tetramirror),4,4
0.5,267,A (dominant seventh chord),9,4
1.0,267,E (Minor Third with octave doublings),4,2
1.5,267,A (dominant seventh chord),9,4
2.0,267,E (perfect-fourth minor tetrachord),4,4
2.5,267,A (incomplete dominant-seventh chord),9,3
3.0,267,E (minor triad),4,3
3.5,267,A (dominant seventh chord),9,4
0.0,268,D (Major Third with octave doublings),2,2
0.5,268,D (Major Third with octave doublings),2,2
0.75,268,D (Major Third with octave doublings),2,2
1.0,268,E (multiple octaves),4,1
1.5,268,A (Major Third with octave doublings),9,2
2.0,268,D (multiple octaves),2,1
2.5,268,D (major triad),2,3
3.0,268,E (Minor Third),4,2
3.5,268,A (Perfect Fifth),9,2
0.0,269,D (Major Third with octave doublings),2,2
1.0,269,D (Major Third with octave doublings),2,2
2.0,269,E (incomplete minor-seventh chord),4,3
3.0,269,F# (minor triad),6,3
3.5,269,B (incomplete dominant-seventh chord),11,3
0.0,270,F# (Major Sixth with octave doublings),6,2
0.5,270,B (incomplete dominant-seventh chord),11,3
1.0,270,C# (diminished triad),1,3
1.5,270,E (incomplete minor-seventh chord),4,3
2.0,270,D (whole-tone trichord),2,3
2.5,270,D (Minor Sixth with octave doublings),2,2
3.0,270,A (dominant seventh chord),9,4
3.5,270,A (major triad),9,3
0.0,271,D (major triad),2,3
1.0,271,D (major triad),2,3
2.0,271,E (quartal tetramirror),4,4
2.5,271,D (major-second major tetrachord),2,4
3.0,271,D (major-ninth chord),2,5
3.5,271,B (minor seventh chord),11,4
0.0,272,D (major triad),2,3
0.5,272,D (major triad),2,3
1.0,272,D (major-second major tetrachord),2,4
1.5,272,A (major triad),9,3
2.0,272,A (major triad),9,3
2.5,272,A (major triad),9,3
3.0,272,E (perfect-fourth minor tetrachord),4,4
3.5,272,A (dominant seventh chord),9,4
3.75,272,A (major triad),9,3
0.0,273,D (Major Third with octave doublings),2,2
1.0,273,D (major triad),2,3
2.0,273,E (quartal tetramirror),4,4
3.0,273,F# (minor triad),6,3
3.5,273,B (minor seventh chord),11,4
0.0,274,F# (minor triad),6,3
0.5,274,B (minor seventh chord),11,4
1.0,274,C# (diminished triad),1,3
1.5,274,E (lydian tetrachord),4,4
2.0,274,E (lydian tetrachord),4,4
2.5,274,D (major triad),2,3
3.0,274,A (dominant-ninth),9,5
3.5,274,A (dominant seventh chord),9,4
0.0,275,D (major triad),2,3
1.0,275,D (major triad),2,3
2.0,275,E (quartal tetramirror),4,4
3.0,275,D (major seventh chord),2,4
3.5,275,B (minor seventh chord),11,4
0.0,276,A (dominant seventh chord),9,4
0.5,276,A (dominant seventh chord),9,4
1.0,276,A (dominant seventh chord),9,4
1.5,276,D (major-second major tetrachord),2,4
2.0,276,D (Major Third with octave doublings),2,2
2.5,276,D (major triad),2,3
2.75,276,D (major triad),2,3
3.0,276,A (Kumoi pentachord),9,5
3.5,276,D (major triad),2,3
3.75,276,D (Perfect Fourth with octave doublings),2,2
0.0,277,A (major triad),9,3
0.5,277,A (major triad),9,3
0.75,277,A (Perfect Fifth with octave doublings),9,2
1.0,277,A (major triad),9,3
1.5,277,A (major triad),9,3
2.0,277,D (major triad),2,3
2.5,277,D (major triad),2,3
3.0,277,D (major triad),2,3
3.5,277,D (major triad),2,3
0.0,278,A (dominant seventh chord),9,4
0.5,278,A (dominant seventh chord),9,4
1.0,278,D (major-second major tetrachord),2,4
1.5,278,A (dominant seventh chord),9,4
2.0,278,D (major triad),2,3
2.5,278,D (major triad),2,3
3.0,278,E (lydian tetrachord),4,4
3.5,278,D (major triad),2,3
0.0,279,A (dominant seventh chord),9,4
0.5,279,A (dominant seventh chord),9,4
1.0,279,D (major-second major tetrachord),2,4
1.5,279,A (dominant seventh chord),9,4
2.0,279,B- (enharmonic equivalent to major triad),10,3
2.5,279,B- (enharmonic equivalent to major triad),10,3
3.0,279,C# (enharmonic to dominant seventh chord),1,4
3.5,279,C# (enharmonic to dominant seventh chord),1,4
0.0,280,B (Minor Third with octave doublings),11,2
0.5,280,B (Minor Third with octave doublings),11,2
1.0,280,E (major triad),4,3
1.5,280,E (major triad),4,3
2.0,280,A (Major Third with octave doublings),9,2
2.5,280,A (Major Third with octave doublings),9,2
2.75,280,A (Perfect Double-octave),9,1
3.0,280,D (major triad),2,3
3.5,280,D (major triad),2,3
0.0,281,D (major triad),2,3
1.0,281,D (major triad),2,3
2.0,281,E (quartal tetramirror),4,4
3.0,281,F# (minor triad),6,3
3.5,281,B (incomplete dominant-seventh chord),11,3
0.0,282,F# (Major Sixth with octave doublings),6,2
0.5,282,B (incomplete dominant-seventh chord),11,3
0.75,282,B (incomplete dominant-seventh chord),11,3
1.0,282,A (dominant seventh chord),9,4
1.5,282,E (quartal tetramirror),4,4
1.75,282,E (quartal tetramirror),4,4
2.0,282,D (major-second major tetrachord),2,4
2.5,282,D (major triad),2,3
3.0,282,A (dominant seventh chord),9,4
3.5,282,A (major triad),9,3
0.0,283,D (major triad),2,3
1.0,283,D (major triad),2,3
2.0,283,E (quartal tetramirror),4,4
3.0,283,D (major seventh chord),2,4
3.5,283,B (minor seventh chord),11,4
0.0,284,A (dominant seventh chord),9,4
0.5,284,A (dominant seventh chord),9,4
1.0,284,A (dominant seventh chord),9,4
1.5,284,D (major-second major tetrachord),2,4
2.0,284,D (Major Third with octave doublings),2,2
2.5,284,D (Major Third with octave doublings),2,2
3.0,284,D (major seventh chord),2,4
3.5,284,D (major triad),2,3
3.75,284,D (major triad),2,3
0.0,285,A (major triad),9,3
0.5,285,A (major triad),9,3
0.75,285,A (major triad),9,3
1.0,285,A (major triad),9,3
1.5,285,A (major triad),9,3
2.0,285,D (major triad),2,3
2.5,285,D (major triad),2,3
3.0,285,D (major triad),2,3
3.5,285,D (major triad),2,3
0.0,286,A (dominant seventh chord),9,4
0.5,286,A (dominant seventh chord),9,4
1.0,286,D (major triad),2,3
1.5,286,A (incomplete dominant-seventh chord),9,3
2.0,286,D (major triad),2,3
2.5,286,D (major triad),2,3
3.0,286,E (quartal tetramirror),4,4
3.5,286,D (major triad),2,3
0.0,287,A (dominant seventh chord),9,4
0.3333333333333333,287,A (dominant seventh chord),9,4
0.5,287,A (dominant seventh chord),9,4
0.6666666666666666,287,A (dominant seventh chord),9,4
1.0,287,D (major-ninth chord),2,5
1.5,287,A (dominant seventh chord),9,4
2.0,287,B- (enharmonic equivalent to major triad),10,3
2.5,287,B- (enharmonic equivalent to major triad),10,3
3.0,287,C# (enharmonic to dominant seventh chord),1,4
3.5,287,C# (enharmonic to dominant seventh chord),1,4
0.0,288,B (minor triad),11,3
0.5,288,B (minor triad),11,3
1.0,288,E (major triad),4,3
1.5,288,E (major triad),4,3
2.0,288,A (Major Third with octave doublings),9,2
2.5,288,F# (minor triad),6,3
2.75,288,F# (Major Sixth with octave doublings),6,2
3.0,288,D (major triad),2,3
3.5,288,D (major triad),2,3
0.0,289,D (major triad),2,3
0.5,289,D (major triad),2,3
1.0,289,D (major triad),2,3
1.5,289,D (major triad),2,3
2.0,289,E (quartal tetramirror),4,4
2.5,289,D (major pentachord),2,5
3.0,289,D (major seventh chord),2,4
3.5,289,B (minor seventh chord),11,4
0.0,290,F# (Major Sixth with octave doublings),6,2
0.5,290,B (incomplete dominant-seventh chord),11,3
0.75,290,B (incomplete dominant-seventh chord),11,3
1.0,290,A (dominant seventh chord),9,4
1.5,290,E (quartal tetramirror),4,4
2.0,290,D (major-second major tetrachord),2,4
2.5,290,D (major triad),2,3
3.0,290,A (dominant seventh chord),9,4
3.5,290,A (major triad),9,3
0.0,291,D (major triad),2,3
0.5,291,D (major triad),2,3
1.0,291,D (major triad),2,3
1.5,291,D (major triad),2,3
2.0,291,E (quartal tetramirror),4,4
2.5,291,D (locrian hexachord),2,6
3.0,291,D (major triad),2,3
3.5,291,D (major triad),2,3
0.0,292,A (dominant seventh chord),9,4
0.5,292,A (dominant seventh chord),9,4
1.0,292,A (dominant seventh chord),9,4
1.5,292,D (major pentachord),2,5
2.0,292,D (Major Third with octave doublings),2,2
2.5,292,D (major triad),2,3
3.0,292,D (major triad),2,3
3.5,292,D (major triad),2,3
0.0,293,E (lydian tetrachord),4,4
0.5,293,D (major pentachord),2,5
1.0,293,A (incomplete dominant-seventh chord),9,3
1.5,293,D (Major Third with octave doublings),2,2
2.0,293,D (Major Third with octave doublings),2,2
